Time,Intensity (Isai), Color, Intensity (Keven), Color
9:30am,4,#9ecec3,3,#ff857c,
10:00am,5,#5f2a84,5,#ffb57c,
10:30am,6,#ff9aa4,6,#5f2a84,
11:00am,6,#ff9aa4,4,#ff857c,
11:30am,5,#5f2a84,3,#ff9aa4,
12:00pm,7,#5f2a84,4,#fff57c,
12:30pm,3,#5f2a84,6,#fff57c,
1:00pm,2,#ff857c,7,#5f2a84,
1:30pm,2,#01cbae,8,#9ecec3,
2:00pm,4,#2082a6,8,#9ecec3,
2:30pm,5,#ff9aa4,8,#9ecec3,
3:00pm,6,#5f2a84,8,#9ecec3,
3:30pm,6,#5f2a84,8,#5f2a84,
4:00pm,7,#5f2a84,4,#01cbae,
4:30pm,5,#5f2a84,6,#01cbae,
5:00pm,5,#5f2a84,6,#01cbae,
5:30pm,6,#01cbae,5,#01cbae,
6:00pm,6,#01cbae,2,#ff857c,
6:30pm,7,#01cbae,5,#01cbae,
