Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.31,-.04,-.41,-.12,-.01,-.81,-.54,-.31,-.15,-.09,-.03,.05,.68
1881,-.09,-.20,.01,-.38,.11,-.06,-.93,-.51,-.22,.10,.12,-.04,-.07,.61
1882,-.11,-.23,.00,-.33,-.04,.02,-1.41,-.32,-.15,-.05,-.04,.02,.04,.64
1883,-.17,-.29,-.06,-.36,-.16,.00,-.18,-.60,-.27,-.17,-.14,-.03,.07,.51
1884,-.28,-.43,-.14,-.62,-.14,-.13,-1.31,-.68,-.46,-.12,-.15,-.18,-.02,.66
1885,-.33,-.44,-.23,-.67,-.13,-.27,-1.51,-.72,-.45,-.07,-.19,-.32,-.15,.83
1886,-.31,-.44,-.19,-.58,-.19,-.21,-1.59,-.54,-.39,-.21,-.17,-.19,-.20,.60
1887,-.36,-.45,-.28,-.54,-.29,-.28,-1.77,-.56,-.29,-.30,-.29,-.27,-.26,.33
1888,-.17,-.24,-.11,-.43,.10,-.28,-1.30,-.47,-.24,.06,.14,-.30,-.22,.17
1889,-.11,-.18,-.03,-.31,.08,-.15,-.68,-.26,-.27,.01,.15,-.14,-.15,.46
1890,-.35,-.40,-.32,-.47,-.37,-.22,-1.14,-.60,-.27,-.27,-.47,-.17,-.27,.16
1891,-.22,-.26,-.19,-.43,-.08,-.21,-1.11,-.36,-.36,.00,-.16,-.17,-.23,-.14
1892,-.27,-.40,-.15,-.44,-.31,-.07,-1.12,-.68,-.17,-.35,-.26,.03,-.21,.10
1893,-.31,-.48,-.15,-.51,-.37,-.04,-.65,-.56,-.46,-.44,-.30,.08,-.20,-.03
1894,-.30,-.40,-.21,-.33,-.34,-.23,-.96,-.35,-.18,-.50,-.19,-.14,-.34,-.36
1895,-.23,-.32,-.14,-.41,-.08,-.25,-.70,-.55,-.27,-.16,.00,-.19,-.31,-.57
1896,-.11,-.20,-.02,-.36,.10,-.14,-.90,-.40,-.22,.05,.15,-.14,-.13,.27
1897,-.11,-.17,-.04,-.37,.17,-.23,-.57,-.49,-.24,.13,.21,-.18,-.27,.42
1898,-.27,-.30,-.25,-.37,-.22,-.26,-1.17,-.27,-.23,-.19,-.25,-.27,-.20,.39
1899,-.18,-.22,-.13,-.25,-.12,-.18,-1.06,-.14,-.14,-.16,-.07,-.14,-.21,.59
1900,-.09,-.10,-.06,-.22,.17,-.29,-.57,-.20,-.15,.08,.26,-.28,-.29,.28
1901,-.16,-.14,-.17,-.18,-.04,-.30,-.39,-.15,-.15,-.07,.00,-.27,-.33,.27
1902,-.28,-.35,-.21,-.56,-.04,-.34,-1.55,-.55,-.32,-.03,-.04,-.27,-.42,-.03
1903,-.37,-.39,-.36,-.48,-.29,-.38,-.25,-.45,-.56,-.25,-.32,-.35,-.40,-.48
1904,-.47,-.50,-.45,-.53,-.47,-.43,-.23,-.63,-.55,-.45,-.48,-.36,-.49,-1.31
1905,-.26,-.30,-.22,-.42,-.08,-.35,-.07,-.27,-.62,-.12,-.04,-.32,-.37,-.33
1906,-.22,-.23,-.20,-.26,-.18,-.22,-.28,-.10,-.39,-.19,-.17,-.19,-.22,-.70
1907,-.38,-.47,-.29,-.60,-.30,-.28,-.59,-.75,-.51,-.29,-.30,-.20,-.36,-1.19
1908,-.43,-.46,-.39,-.49,-.44,-.35,-.25,-.58,-.51,-.43,-.45,-.27,-.48,.68
1909,-.49,-.51,-.47,-.54,-.48,-.43,-.76,-.65,-.43,-.45,-.52,-.36,-.52,-.56
1910,-.44,-.45,-.42,-.43,-.49,-.37,-.63,-.27,-.49,-.49,-.49,-.32,-.45,.17
1911,-.44,-.43,-.45,-.43,-.42,-.47,-.30,-.44,-.46,-.43,-.42,-.43,-.52,.06
